headline,pagetitle,url
,Exam Results - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/about/exam-results/
,Home - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/
,Prospectuses - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/about/prospectus/
,About - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/about/
,Awards and Affiliations - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/about/awards/
,Curriculum - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments2222/curriculum/
,Open Days - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/about/open-days/
,Accessibility - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/about/accessibility/
,Religious Studies - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/religious-studies/
,Politics - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/politics/
,Psychology - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/psychology/
,Physics - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/physics/
,Modern Foreign Languages - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/modern-foreign-languages/
,Music - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/music/
,Physical Education - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/physical-education/
,Mathematics - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/mathematics/
,King Edward VI Camp Hill School for Girls,http://moodle.kechg.org.uk/
,History - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/history/
,Geography - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/geography/
,English - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/english/
,Economics - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/economics/
,Drama - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/drama/
,Design and Technology - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/design-and-technology/
,Computing - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/computing/
,Chemistry - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/chemistry/
,Biology - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/biology/
,SIMS Learning Gateway (SLG) Acceptable Usage Policy - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/terms-of-website-use/sims-learning-gateway-slg-acceptable-usage-policy/
,Art and Design - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/departments/art-and-design/
,Terms of Website Use - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/terms-of-website-use/
,Vacancies - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/contact/vacancies/
,Privacy Policy - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/terms-of-website-use/privacy-policy/
,Old Girls - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/history/old-girls/
,Gathering Storm Clouds - Post 1943 - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/history/gathering-storm-clouds-post-1943/
,History - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/history/
,Contact - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/contact/
,Newsletters - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/newsletters/
,Current News - King Edward VI Camp Hill School for Girls,http://kechg.org.uk/current-news/
